year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,398.42502809771304,,
2015,400.0927338338855,1.6677057361724792,
2016,403.33144098914676,3.2387071552612383,0.1903290607061844
2017,405.92988074098616,2.5984397518394076,0.18130333246037017
2018,407.93170933217516,2.001828591188996,0.1812882780726422
2019,410.5055602835255,2.573850951350323,0.18128821065026143
2020,412.945832135684,2.440271852158503,0.1812881904353697
2021,415.50852946669926,2.562697331015272,0.18128815934261497
2022,417.8102197350294,2.3016902683301623,0.1812897907696396
2023,420.08607348203293,2.2758537470035094,0.18138312366707218
2024,423.2250895771803,3.139016095147383,0.1963762860930868
