year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,398.0533465707519,,
2015,400.13857441744676,2.0852278466948633,
2016,402.9927496057656,2.854175188318834,0.19243020311821193
2017,405.58532757467486,2.592577968909268,0.18376176518840656
2018,407.56892333991175,1.9835957652368847,0.18310124154032897
2019,409.9987571880795,2.429833848167732,0.18309324183119224
2020,412.6638772134332,2.6651200253537013,0.18309228105108885
2021,415.3391535628037,2.675276349370506,0.18309430273423102
2022,417.4702177924031,2.131064229599417,0.18312410558414954
2023,419.722570879464,2.2523530870608965,0.18423838612392113
2024,422.5336083534053,2.811037473941326,0.21183977976058985
