year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,394.41567761848245,,
2015,396.4920126524742,2.076335033991768,
2016,399.4899082972765,2.99789564480227,
2017,401.64661129104246,2.1567029937659754,0.05208006176300454
2018,404.0166863608308,2.3700750697883564,0.05133894506000995
2019,406.45496422026764,2.4382778594368233,0.05093455199457609
2020,408.85624655093943,2.4012823306717905,0.05078228784854688
2021,411.06948953490735,2.213242983967916,0.05085330479096924
2022,413.35918488603505,2.2896953511277047,0.051162055317173986
2023,415.5418644116275,2.182679525592448,0.05177096188072118
2024,418.75384278608357,3.2119783744560664,0.05280753653007824
