year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,397.59187580094556,,
2015,400.0195172116137,2.427641410668116,
2016,403.1041197334719,3.084602521858244,0.1706597234273658
2017,405.52723219361684,2.423112460144921,0.16108772167230032
2018,407.98340205026847,2.456169856651627,0.16089179543089424
2019,410.4421822887929,2.4587802385244117,0.160889191740057
2020,412.8819818344265,2.439799545633605,0.16088916697976688
2021,415.28143849433917,2.399456659912687,0.1608892546917133
2022,417.30708352871017,2.0256450343709957,0.16089375375616158
2023,419.45168917591076,2.144605647200592,0.16146903609649987
2024,422.8924903464437,3.44080117053295,0.1902912652191054
