year,MEAN_CO2,DIFF_ANNUAL_MEAN,DIFF_ANNUAL_MEAN_ERROR
2014,398.24621604522144,,
2015,399.7876776815638,1.541461636342376,
2016,402.96783171988125,3.1801540383174256,0.18744099815760676
2017,405.51941091971725,2.5515791998359987,0.17952969453365628
2018,407.8484736554323,2.3290627357150697,0.1795028506436976
2019,410.3913967091704,2.542923053738093,0.17949633854766608
2020,412.76996384239465,2.3785671332242373,0.17949567888171603
2021,415.2394668347308,2.4695029923361744,0.17949684583030567
2022,417.4012963269879,2.161829492257084,0.17950777708150836
2023,419.5101114945077,2.108815167519822,0.17961957866280603
2024,422.84520475185457,3.3350932573468413,0.2033043748071242
